User ID,Project-group,Sub-group
student_49,01-air,f
student_37,01-air,f
student_63,01-air,f
student_64,01-air,f
student_48,01-air,m
student_54,01-air,m
student_53,01-air,m
student_32,01-air,m
student_29,02-air,f
student_6,02-air,f
student_13,02-air,f
student_52,02-air,m
student_61,02-air,m
student_20,02-air,m
student_36,02-air,m
student_40,03-cust,f
student_35,03-cust,f
student_31,03-cust,f
student_10,03-cust,f
student_11,03-cust,m
student_7,03-cust,m
student_8,03-cust,m
student_12,03-cust,m
student_41,04-cust,f
student_45,04-cust,f
student_65,04-cust,f
student_59,04-cust,m
student_14,04-cust,m
student_66,04-cust,m
student_15,04-cust,m
student_43,05-cust,f
student_44,05-cust,f
student_5,05-cust,f
student_9,05-cust,m
student_26,05-cust,m
student_39,05-cust,m
student_30,05-cust,m
student_62,06-fifa,f
student_34,06-fifa,f
student_60,06-fifa,f
student_56,06-fifa,f
student_46,06-fifa,m
student_25,06-fifa,m
student_22,06-fifa,m
student_38,06-fifa,m
student_42,07-storm,f
student_23,07-storm,f
student_50,07-storm,f
student_55,07-storm,f
student_17,07-storm,m
student_21,07-storm,m
student_57,07-storm,m
student_33,07-storm,m
student_47,08-traffic,f
student_51,08-traffic,f
student_27,08-traffic,f
student_28,08-traffic,f
student_58,08-traffic,m
student_19,08-traffic,m
student_16,08-traffic,m
student_24,08-traffic,m
