student_id,project_team,subteam
student_9,Airline delay_team1,Modeling team
student_30,Airline delay_team1,Modeling team
student_39,Airline delay_team1,Modeling team
student_26,Airline delay_team1,Modeling team
student_41,Airline delay_team1,Front-end team
student_45,Airline delay_team1,Front-end team
student_28,Airline delay_team2,Modeling team
student_17,Airline delay_team2,Modeling team
student_48,Airline delay_team2,Modeling team
student_54,Airline delay_team2,Modeling team
student_48,Airline delay_team2,Front-end team
student_54,Airline delay_team2,Front-end team
student_8,Customer analytics_team1,Modeling team
student_11,Customer analytics_team1,Modeling team
student_12,Customer analytics_team1,Modeling team
student_7,Customer analytics_team1,Modeling team
student_34,Customer analytics_team1,Front-end team
student_60,Customer analytics_team1,Front-end team
student_62,Customer analytics_team1,Front-end team
student_56,Customer analytics_team1,Front-end team
student_61,Customer analytics_team2,Modeling team
student_52,Customer analytics_team2,Modeling team
student_18,Customer analytics_team2,Modeling team
student_27,Customer analytics_team2,Front-end team
student_36,Customer analytics_team2,Front-end team
student_29,Customer analytics_team2,Front-end team
student_15,Customer analytics_team2,Front-end team
student_53,FIFA video highlights_team1,Modeling team
student_32,FIFA video highlights_team1,Modeling team
student_2,FIFA video highlights_team1,Front-end team
student_1,FIFA video highlights_team1,Front-end team
student_3,FIFA video highlights_team1,Front-end team
student_4,FIFA video highlights_team1,Front-end team
student_24,Heavy traffic_team1,Modeling team
student_12,Heavy traffic_team1,Modeling team
student_11,Heavy traffic_team1,Modeling team
student_8,Heavy traffic_team1,Modeling team
student_20,Heavy traffic_team1,Front-end team
student_61,Heavy traffic_team1,Front-end team
student_52,Heavy traffic_team1,Front-end team
student_67,Heavy traffic_team2,Modeling team
student_14,Heavy traffic_team2,Modeling team
student_66,Heavy traffic_team2,Modeling team
student_59,Heavy traffic_team2,Modeling team
student_46,Heavy traffic_team2,Front-end team
student_38,Heavy traffic_team2,Front-end team
student_25,Heavy traffic_team2,Front-end team
student_22,Heavy traffic_team2,Front-end team
student_35,Storm cell tracking_team2,Modeling team
student_40,Storm cell tracking_team2,Modeling team
student_31,Storm cell tracking_team2,Modeling team
student_15,Storm cell tracking_team2,Modeling team
student_51,Storm cell tracking_team2,Front-end team
student_57,Storm cell tracking_team2,Front-end team
