"student_id","project_team","subteam"
"e0424957","Airline delay_team2","Modeling team"
"e0415752","Airline delay_team2","Modeling team"
"e0376989","Airline delay_team2","Modeling team"
"e0376959","Airline delay_team2","Modeling team"
"e0376935","Airline delay_team2","Modeling team"
"e0425769","Airline delay_team2","Front-end team"
"e0424745","Airline delay_team2","Front-end team"
"e0398576","Airline delay_team2","Front-end team"
"e0439295","Airline delay_team2","Front-end team"
"e0426097","Airline delay_team2","Front-end team"
"e0425536","Customer analytics_team1","Modeling team"
"e0425810","Customer analytics_team1","Modeling team"
"e0426140","Customer analytics_team1","Modeling team"
"e0425690","Customer analytics_team1","Modeling team"
"e0406559","Customer analytics_team1","Modeling team"
"e0376935","Customer analytics_team1","Front-end team"
"e0376959","Customer analytics_team1","Front-end team"
"e0376989","Customer analytics_team1","Front-end team"
"e0376929","Customer analytics_team1","Front-end team"
"e0406480","Customer analytics_team2","Modeling team"
"e0407559","Customer analytics_team2","Modeling team"
"e0426140","Customer analytics_team2","Modeling team"
"e0425690","Customer analytics_team2","Modeling team"
"e0425327","Customer analytics_team2","Front-end team"
"e0425467","Customer analytics_team2","Front-end team"
"e0415428","Customer analytics_team2","Front-end team"
"e0406320","Customer analytics_team2","Front-end team"
"e0415653","FIFA video highlights_team3","Modeling team"
"e0425478","FIFA video highlights_team3","Modeling team"
"e0425189","FIFA video highlights_team3","Modeling team"
"e0407848","FIFA video highlights_team3","Modeling team"
"e0407680","FIFA video highlights_team3","Modeling team"
"e0425637","FIFA video highlights_team3","Front-end team"
"E0425355","FIFA video highlights_team3","Front-end team"
"E0407700","FIFA video highlights_team3","Front-end team"
"E0425599","FIFA video highlights_team3","Front-end team"
"E0425873","FIFA video highlights_team3","Front-end team"
"e0407795","Heavy traffic_team1","Modeling team"
"e0376940","Heavy traffic_team1","Modeling team"
"e0424598","Heavy traffic_team1","Modeling team"
"e0425201","Heavy traffic_team1","Modeling team"
"e0411110","Heavy traffic_team1","Modeling team"
"e0424835","Heavy traffic_team1","Front-end team"
"e0426108","Heavy traffic_team1","Front-end team"
"e0426159","Heavy traffic_team1","Front-end team"
"e0425939","Heavy traffic_team1","Front-end team"
"e0425536","Storm cell tracking_team2","Modeling team"
"e0425810","Storm cell tracking_team2","Modeling team"
"e0406320","Storm cell tracking_team2","Modeling team"
"e0425944","Storm cell tracking_team2","Modeling team"
"e056563","Storm cell tracking_team2","Front-end team"
"e0424903","Storm cell tracking_team2","Front-end team"
"e0425282","Storm cell tracking_team2","Front-end team"
"e0424730","Storm cell tracking_team2","Front-end team"
